customer_id,recency_days,frequency,monetary_total,avg_order_value,tenure_days,delivery_share,avg_items_per_order,item_diversity,tip_rate,modifiers_per_order,lapsed
427,28,3,96.66,32.220000,329,1.00000,2.3333,5,0.000000,3.3333,0
428,2,3,91.47,30.490000,355,1.00000,2.3333,6,0.000000,1.0000,0
429,4,19,653.28,34.383158,353,0.47368,2.2105,16,0.076537,1.1579,0
430,58,17,693.90,40.817647,299,0.00000,3.0000,16,0.054763,1.8235,0
434,1,26,1050.22,40.393077,356,0.26923,2.8846,30,0.026661,1.1923,0
436,10,8,360.24,45.030000,347,0.62500,2.5000,10,0.049523,1.1250,0
437,60,8,327.79,40.973750,297,0.00000,2.1250,6,0.130571,5.5000,0
438,14,25,446.21,17.848400,343,0.28000,1.0400,10,0.138119,1.1200,0
443,14,7,363.04,51.862857,343,0.00000,4.5714,9,0.082636,0.0000,0
445,6,36,2230.67,61.963056,351,1.00000,4.0833,6,0.007621,4.9167,0
447,42,7,257.11,36.730000,315,1.00000,1.8571,9,0.097040,0.8571,0
449,13,10,420.51,42.051000,344,0.00000,3.4000,9,0.000000,2.0000,0
450,14,22,595.28,27.058182,343,0.09091,3.7727,17,0.016799,1.1818,0
451,71,6,178.06,29.676667,286,0.00000,4.1667,8,0.045996,0.3333,0
452,16,29,909.29,31.354828,341,0.68966,1.4828,9,0.041175,1.0345,0
454,23,8,222.82,27.852500,334,0.12500,2.1250,16,0.000000,0.8750,0
455,1,5,328.23,65.646000,356,0.00000,5.2000,12,0.109222,3.0000,0
462,53,17,1089.64,64.096471,304,0.00000,7.4118,13,0.027358,2.4118,0
467,6,24,835.83,34.826250,350,0.41667,2.6250,26,0.066222,1.7917,0
469,1,36,1438.42,39.956111,355,0.02778,2.8889,36,0.025723,3.3611,0
470,13,28,1094.16,39.077143,343,1.00000,2.9286,7,0.003656,2.0000,0
471,5,3,97.45,32.483333,351,0.00000,2.6667,7,0.044741,1.6667,1
474,72,5,170.13,34.026000,284,0.00000,2.4000,5,0.000000,1.0000,0
480,90,9,571.51,63.501111,266,0.77778,10.0000,18,0.033280,3.7778,0
486,15,17,660.34,38.843529,341,0.11765,2.1176,11,0.114911,1.8235,0
488,33,8,300.57,37.571250,323,0.00000,2.7500,6,0.035266,2.5000,0
489,26,11,492.72,44.792727,330,1.00000,2.9091,10,0.000000,0.3636,0
490,45,14,466.81,33.343571,311,0.71429,2.1429,15,0.000000,3.0000,0
491,43,13,984.90,75.761538,313,0.00000,8.3846,22,0.063783,1.6923,0
492,5,8,322.99,40.373750,351,0.50000,2.1250,10,0.042416,0.6250,1
494,81,2,81.32,40.660000,275,0.00000,4.0000,4,0.000000,0.0000,0
497,6,30,1169.55,38.985000,349,1.00000,2.0000,2,0.137660,8.8333,0
499,8,5,108.46,21.692000,347,0.20000,2.0000,9,0.047944,0.2000,1
501,85,6,110.75,18.458333,270,0.00000,1.1667,2,0.000000,2.5000,0
502,42,9,283.75,31.527778,313,0.88889,2.5556,7,0.151542,0.1111,0
504,47,13,906.18,69.706154,308,1.00000,3.3077,9,0.156922,1.7692,0
506,87,21,522.10,24.861905,268,0.00000,1.4286,9,0.001915,2.0952,0
507,17,17,791.47,46.557059,338,1.00000,2.2941,8,0.147611,0.4706,0
508,59,12,546.63,45.552500,296,0.08333,5.3333,18,0.030844,1.5833,0
511,9,20,634.93,31.746500,346,0.00000,2.3500,10,0.028350,2.6500,0
516,65,3,166.73,55.576667,290,0.66667,4.0000,7,0.000000,4.3333,0
520,4,22,753.40,34.245455,351,0.63636,2.1818,13,0.022564,1.0455,0
522,1,13,545.70,41.976923,354,0.00000,2.8462,5,0.000000,1.2308,0
523,84,21,746.35,35.540476,271,0.28571,2.6190,18,0.014738,3.2381,0
525,16,12,408.50,34.041667,339,0.83333,2.1667,14,0.036720,0.5833,0
526,14,12,347.60,28.966667,341,0.33333,2.6667,22,0.014384,4.5000,0
528,62,5,110.21,22.042000,293,0.00000,1.8000,6,0.000000,1.4000,0
532,5,22,323.10,14.686364,350,0.00000,1.6818,5,0.000000,1.1364,0
533,64,14,1029.83,73.559286,290,1.00000,5.5000,37,0.111125,9.5000,0
535,5,11,310.54,28.230909,349,0.18182,2.0000,12,0.088555,1.6364,0
536,4,80,1709.71,21.371375,350,0.98750,1.9000,16,0.201906,2.7125,0
538,8,14,608.91,43.493571,346,0.35714,3.2857,18,0.077187,2.2857,0
539,80,13,379.30,29.176923,274,0.23077,1.1538,6,0.074717,4.1538,0
541,32,9,385.47,42.830000,322,0.66667,2.3333,8,0.143643,3.2222,1
543,7,39,1165.10,29.874359,347,0.94872,4.0256,9,0.015449,0.2564,0
545,8,15,563.67,37.578000,346,1.00000,3.0667,12,0.136250,1.7333,0
546,50,3,72.48,24.160000,304,0.33333,2.3333,4,0.000000,0.3333,0
548,8,6,382.49,63.748333,346,0.00000,4.1667,9,0.020916,0.0000,0
549,1,14,563.29,40.235000,353,0.78571,2.2143,14,0.100144,3.0000,0
552,71,6,86.63,14.438333,283,0.00000,1.8333,8,0.000000,0.5000,0
555,10,20,347.21,17.360500,344,0.00000,1.1500,6,0.000000,0.9500,0
557,12,10,307.89,30.789000,342,0.10000,4.0000,6,0.000000,1.5000,0
558,1,11,454.21,41.291818,353,1.00000,2.9091,15,0.000000,1.3636,0
559,88,4,128.22,32.055000,266,0.75000,3.0000,10,0.000000,1.7500,0
560,28,16,401.52,25.095000,326,0.00000,1.8125,10,0.000000,2.1875,0
562,1,18,1204.50,66.916667,353,1.00000,5.0556,14,0.066418,2.3333,0
563,2,15,226.31,15.087333,352,0.00000,2.0667,16,0.000000,0.4000,0
564,3,84,1755.07,20.893690,351,0.00000,2.3333,67,0.035298,1.0833,0
566,14,29,952.75,32.853448,339,0.10345,2.7241,40,0.009121,1.5517,0
570,10,10,125.46,12.546000,343,0.00000,1.4000,8,0.000000,0.5000,0
571,11,20,939.92,46.996000,342,0.95000,3.8000,18,0.008511,2.1500,0
573,15,14,751.72,53.694286,338,0.92857,3.0714,10,0.151652,1.8571,0
577,1,21,828.45,39.450000,352,0.33333,3.2857,18,0.052628,2.9524,0
578,9,23,695.48,30.238261,344,1.00000,2.0000,5,0.151909,2.0870,0
579,64,10,375.45,37.545000,289,1.00000,2.1000,6,0.133546,2.4000,0
580,5,8,272.31,34.038750,348,1.00000,2.0000,9,0.000000,2.0000,0
582,22,7,301.53,43.075714,331,0.57143,5.4286,5,0.000000,0.5714,0
583,23,5,77.26,15.452000,330,0.00000,1.6000,7,0.058245,0.8000,0
585,84,5,372.04,74.408000,269,1.00000,3.2000,9,0.123669,4.2000,0
586,15,4,84.53,21.132500,338,0.00000,1.2500,4,0.000000,1.5000,0
587,73,2,81.86,40.930000,280,0.00000,4.0000,4,0.000000,0.0000,0
590,69,2,33.48,16.740000,284,0.00000,2.0000,3,0.209080,1.5000,0
591,9,21,457.37,21.779524,344,0.14286,1.5238,8,0.038481,0.8095,0
592,8,14,472.77,33.769286,345,0.07143,4.0000,8,0.089346,0.1429,0
593,9,19,640.55,33.713158,344,0.94737,2.5789,6,0.107174,5.0526,0
594,6,13,517.72,39.824615,347,0.30769,2.4615,15,0.038747,0.5385,0
595,6,14,681.52,48.680000,347,1.00000,2.7857,10,0.152160,4.3571,0
596,29,29,1344.53,46.363103,324,0.41379,3.2069,32,0.046857,2.5862,0
597,15,19,350.82,18.464211,338,0.00000,2.7895,21,0.005701,0.6842,0
605,18,22,760.59,34.572273,335,0.22727,2.8182,32,0.017092,1.4091,0
608,78,6,80.80,13.466667,274,0.00000,2.8333,5,0.000000,2.1667,1
609,11,13,683.80,52.600000,341,0.30769,3.9231,23,0.023326,1.0000,0
610,32,3,99.37,33.123333,320,0.00000,1.6667,4,0.020127,4.0000,1
613,74,8,260.02,32.502500,278,0.00000,2.6250,6,0.057688,1.0000,0
615,8,27,933.04,34.557037,344,1.00000,3.7407,15,0.000000,0.6296,0
616,46,14,444.38,31.741429,306,0.14286,2.0000,8,0.040506,1.7857,0
618,8,11,281.41,25.582727,344,0.00000,1.3636,6,0.000000,1.4545,0
619,40,3,281.38,93.793333,312,1.00000,5.0000,6,0.110171,3.3333,1
622,16,15,456.05,30.403333,336,1.00000,1.2667,4,0.118408,1.2667,0
625,9,5,303.61,60.722000,343,0.00000,5.6000,10,0.092487,2.2000,1
626,79,5,240.83,48.166000,273,1.00000,2.6000,9,0.133621,4.0000,1
629,1,84,2925.27,34.824643,351,0.23810,2.4286,58,0.038605,1.5952,0
630,78,7,214.65,30.664286,274,0.14286,2.1429,8,0.105195,0.8571,1
632,79,11,252.63,22.966364,273,0.00000,1.0000,1,0.114792,0.0000,0
633,1,21,728.01,34.667143,351,0.14286,2.1905,18,0.112636,1.5714,0
635,16,12,244.10,20.341667,336,0.25000,1.5000,12,0.069644,0.8333,0
638,6,11,433.03,39.366364,346,1.00000,2.2727,8,0.000000,1.7273,0
642,38,9,248.77,27.641111,314,0.00000,2.1111,12,0.000000,1.3333,0
646,84,3,86.81,28.936667,268,0.00000,3.6667,11,0.057021,2.3333,0
648,38,16,844.46,52.778750,314,0.87500,2.8125,8,0.090235,2.4375,0
652,67,3,190.91,63.636667,285,0.66667,5.6667,9,0.026190,2.0000,0
653,2,24,981.48,40.895000,350,0.12500,3.0833,14,0.019359,5.8333,0
656,18,11,549.34,49.940000,334,1.00000,2.7273,8,0.092839,1.3636,0
657,27,14,561.75,40.125000,325,0.00000,1.9286,13,0.000000,1.4286,0
659,53,7,254.79,36.398571,299,1.00000,2.5714,8,0.139095,1.5714,0
660,69,5,189.64,37.928000,283,0.20000,2.2000,10,0.054893,1.2000,0
664,50,7,220.78,31.540000,302,1.00000,1.7143,6,0.156717,1.2857,0
665,51,6,331.30,55.216667,301,0.83333,3.3333,9,0.076064,2.1667,0
668,50,14,382.23,27.302143,302,0.92857,2.4286,16,0.020930,3.7857,0
669,1,48,1197.97,24.957708,351,1.00000,2.5000,31,0.060102,1.2917,0
674,15,9,162.52,18.057778,336,0.00000,1.5556,2,0.012306,1.2222,0
679,48,30,669.61,22.320333,303,0.96667,2.2667,9,0.124207,3.7667,0
